GEOID,NAME,B05002_001E,B05002_001M,B05002_013E,B05002_013M
01224,ZCTA5 01224,163,92,0,13
01229,ZCTA5 01229,59,46,16,17
01243,ZCTA5 01243,258,81,0,13
01260,ZCTA5 01260,191,101,9,16
22509,ZCTA5 22509,55,61,0,13
22301,ZCTA5 22301,13188,802,951,246
22485,ZCTA5 22485,25997,176,746,189
22654,ZCTA5 22654,833,324,51,79
22469,ZCTA5 22469,2347,479,49,84
22646,ZCTA5 22646,50,50,6,11
22580,ZCTA5 22580,5467,676,172,110
22729,ZCTA5 22729,1391,297,156,76
22847,ZCTA5 22847,718,235,23,25
22969,ZCTA5 22969,1966,566,16,20
22747,ZCTA5 22747,1261,287,96,78
22436,ZCTA5 22436,1055,383,27,43
22192,ZCTA5 22192,59670,2035,13556,1435
22610,ZCTA5 22610,1499,342,33,39
22025,ZCTA5 22025,19634,1450,2787,571
22035,ZCTA5 22035,183,100,134,125
22185,ZCTA5 22185,0,13,0,13
22214,ZCTA5 22214,0,13,0,13
22530,ZCTA5 22530,219,187,0,13
22551,ZCTA5 22551,20218,1580,972,315
22556,ZCTA5 22556,31545,1937,4819,934
22623,ZCTA5 22623,892,296,1,4
22807,ZCTA5 22807,3345,396,246,109
22904,ZCTA5 22904,5634,1113,612,153
22964,ZCTA5 22964,221,157,16,25
22712,ZCTA5 22712,8209,693,863,387
22714,ZCTA5 22714,1027,329,32,36
22443,ZCTA5 22443,8906,478,306,128
22454,ZCTA5 22454,1968,397,16,24
22473,ZCTA5 22473,5013,545,15,18
22553,ZCTA5 22553,15960,1209,788,273
22560,ZCTA5 22560,6269,542,101,98
22639,ZCTA5 22639,526,185,13,21
22663,ZCTA5 22663,690,196,49,48
22546,ZCTA5 22546,16553,1261,495,202
22567,ZCTA5 22567,3336,599,190,165
22572,ZCTA5 22572,7378,557,360,146
22579,ZCTA5 22579,69,77,14,32
22611,ZCTA5 22611,9059,422,568,171
22641,ZCTA5 22641,470,275,0,13
22656,ZCTA5 22656,4052,562,243,139
22709,ZCTA5 22709,1425,393,0,13
22724,ZCTA5 22724,2342,663,77,84
22738,ZCTA5 22738,1394,453,76,62
22741,ZCTA5 22741,209,172,40,62
22749,ZCTA5 22749,225,172,0,13
22802,ZCTA5 22802,30534,1556,4826,737
22846,ZCTA5 22846,1843,493,44,51
22932,ZCTA5 22932,7779,931,475,203
22935,ZCTA5 22935,814,329,7,7
22003,ZCTA5 22003,58252,2411,22529,1629
22032,ZCTA5 22032,31103,1577,6565,621
22033,ZCTA5 22033,38724,1540,12824,1083
22044,ZCTA5 22044,14078,1477,5199,963
25276,ZCTA5 25276,7446,544,5,10
25442,ZCTA5 25442,2302,719,45,38
25502,ZCTA5 25502,850,440,0,12
25524,ZCTA5 25524,2311,482,16,26
25529,ZCTA5 25529,944,257,0,12
97132,ZCTA5 97132,29851,860,2226,562
97232,ZCTA5 97232,14140,1128,894,244
97033,ZCTA5 97033,42,26,0,13
97333,ZCTA5 97333,23493,1055,2369,466
97377,ZCTA5 97377,827,302,97,120
97423,ZCTA5 97423,6521,589,57,47
97837,ZCTA5 97837,83,44,18,27
97856,ZCTA5 97856,357,93,1,2
97205,ZCTA5 97205,7679,628,777,247
97301,ZCTA5 97301,57194,2653,9229,1119
97375,ZCTA5 97375,1241,384,44,49
97429,ZCTA5 97429,881,239,3,5
97467,ZCTA5 97467,5017,323,119,63
97541,ZCTA5 97541,1720,650,8,10
