GCFIP,PES16,PES16_se,PES15,PES15_se,PES2,PES2_se,total_pop,white,black,asian,native,hispanic,per_gop,civic_opp_orgs,all_non_profits,civic_opp_pc,all_orgs_pc
32,1.798958674888709,0.019139543843537433,1.8261720863312627,0.018309177610075746,3.5889025420109815,0.09918752028137329,5401102,0.5414009955746069,0.07704279608124416,0.07074371119079033,0.008715258478732673,0.2653165965019731,0.4766624732455941,4290,12734,0.7942823520089048,2.3576670094362226
33,1.678885956933598,0.022092899882419983,1.6683121936668948,0.018402924862211442,3.51765031967383,0.08757545725855621,2632940,0.922960644754533,0.010349647162487562,0.021452064991986146,0.0020456220042993764,0.027880620143261904,0.45455042701042975,2512,7502,0.954066556776835,2.8492863491002454
34,1.759080250252014,0.01677232225297599,1.7349323395593939,0.02013752378929195,3.896077641098306,0.07121219150618681,17583788,0.593146141206889,0.12800438676808432,0.08187393979044788,0.0013907128543633488,0.17688384323104897,0.41261556703709756,17648,41047,1.003651772871693,2.334366178664119
35,1.7737813977686143,0.02108454949604966,1.7366125891629103,0.021234891052408125,3.6623875080059607,0.11962033342081599,4118358,0.4049235156341435,0.01722142659768772,0.012774508675544962,0.08516403867755061,0.46300151662385836,0.43496669246129455,4197,9491,1.01909547445851,2.304559244242487
36,1.789134345921038,0.01307907715926341,1.7800990452345402,0.012214380292889668,3.6821840244443873,0.062601999648556,38756204,0.5833516099770761,0.14365994151542807,0.07256613676612911,0.0027819029954533215,0.1763290336690353,0.37722291890687376,40288,100649,1.0395238914523208,2.5969777638697535
37,1.7196915253071499,0.018997448290478204,1.7392620520130229,0.019793608162656313,3.9169359377259023,0.07360642827098571,19070966,0.6527194270075255,0.2118250328798237,0.021664240815069357,0.01141305584625341,0.08390975056009224,0.4993434152650928,18920,45261,0.9920839877749245,2.373293518534929
38,1.7009390489305842,0.022276937294795397,1.6926099478110725,0.019047296241741243,3.7062371244116465,0.10920946002049182,1345182,0.8891094290586701,0.011478000746367406,0.010168140816632991,0.05287314281636239,0.02002256943670076,0.6511404873707572,2206,5006,1.6399267905755504,3.7214295166007276
39,1.6575078397162952,0.017630096959392473,1.7074437644685876,0.017039040152392344,3.730630029810568,0.0703617685732206,23073008,0.8112737619646299,0.12041039469149406,0.01653577201550834,0.001812160772448915,0.030743629092487637,0.5327130010087464,23471,56864,1.0172492463921479,2.4645247815109323
40,1.742994404071095,0.01939815261099309,1.741711985988389,0.019380334028285304,3.9907235319850223,0.06920036326246655,7502702,0.6865209360574364,0.07252613791671321,0.017101572206919588,0.08229915035943051,0.08850331520564192,0.6537327184806295,6346,17344,0.8458286094796248,2.311700504698174
41,1.6587159376893825,0.023182424267213397,1.648169826958823,0.029124874720008142,3.432887561450232,0.07717919890990016,7662148,0.7845966953392182,0.016962345284899222,0.036396060217056624,0.011147265753676383,0.11747671801693206,0.4036724604634335,10101,21806,1.3182987329401625,2.8459382408170657
42,1.6806476336734013,0.013800678569354744,1.6384217773817824,0.01647444037539245,3.6672388937792877,0.07150697060123709,25404758,0.7947056216792145,0.10447578363076712,0.02726166492119311,0.0013311679646781126,0.05665552885801943,0.487817849306632,28497,63440,1.1217190102735872,2.4971700183091685
44,1.7384607396784375,0.025105148071229752,1.7421345982324856,0.023225871072878747,3.733674303089946,0.11081078217975436,2105134,0.7635475936448701,0.04898500523007086,0.02849034788284261,0.00381923431002492,0.12412986536724029,0.386993762381798,2125,7724,1.0094369289555913,3.6691251008249357
45,1.6995781450562841,0.024440205184389885,1.656847980680382,0.021999621164705097,3.7200563965822107,0.07752301343100185,9250728,0.6405420200442603,0.27673454456773566,0.012605926798409812,0.0035919335213401584,0.05095426003229151,0.5511029395674024,8248,19709,0.8916055039127733,2.130535023838124
46,1.5256515003976512,0.03439604433001742,1.5989460523342163,0.022202649100292564,3.600865117293429,0.09477611981862813,1628360,0.8468667862143506,0.01223193888329362,0.009276818393966936,0.08533248176079,0.02716721118180255,0.6176938967225024,2554,5868,1.5684492372693999,3.603625733867204
47,1.7227355582975952,0.0169741882138897,1.7159381292643452,0.02186103171920335,3.749382465220377,0.08096336792776083,12692210,0.75649268330732,0.16535985458797167,0.014230933777490287,0.002568819772127943,0.04570661846912397,0.6066029416628381,10857,27279,0.855406584038556,2.149271088328983
48,1.7712921966425257,0.00943649542871276,1.7925500876015716,0.009245826016384545,3.8419117507607226,0.060395177887790794,50291122,0.45325475140522814,0.1148045573530851,0.037717432512243416,0.00320478035864859,0.37624616925428706,0.5204447181109659,41039,107423,0.8160287217294535,2.1360231334667774
49,1.553300491767993,0.02410442412936046,1.5933758127784423,0.022718442060430694,3.782412250954498,0.08892535802757076,5527770,0.8038391611807293,0.009389319743766474,0.01960139441402229,0.009798164540131011,0.12965083568961805,0.5812983902991959,3769,9269,0.681830105087585,1.6768063794260615
50,1.6319285557379097,0.02166972261994096,1.6108555656436794,0.020989641875219726,3.494257467203678,0.10367205562219049,1251482,0.9432384964386223,0.00949753971691163,0.012585079130183256,0.0032329669943315206,0.014715353476917766,0.3067376465593259,1856,5722,1.4830417057536585,4.572179224311657
51,1.672909057992275,0.02412319242063619,1.6974905077103353,0.0268187781535863,3.6466237853198384,0.0946664783013011,15995826,0.6481834073463915,0.19043486719597974,0.05454891794896994,0.0025851118910645817,0.07899035660928044,0.4399550366728214,18746,41281,1.171930727428518,2.580735749438635
53,1.7009047381926132,0.02296965319171341,1.7160767852994308,0.020971533436339614,3.540594490184496,0.08951912614825082,13449080,0.7252249224482269,0.03414404554066152,0.07073108346444515,0.01319569814440839,0.11239281794739864,0.3876697774334327,15926,34247,1.184170218334637,2.5464195320423406
54,1.713428574963574,0.016238747935627566,1.7349446136986284,0.01302306126689417,4.013587726516571,0.06408056467919372,3705988,0.9316036641241148,0.03352520299580031,0.006629810997769016,0.001885057372015236,0.01201730820499149,0.6863155192461606,3341,9037,0.901513982236316,2.4384860393503702
55,1.6526437642777976,0.020487848435640534,1.6636967704476442,0.017692265068647475,3.6702832889344617,0.0787702545586663,11373972,0.8332025083233896,0.06170192787532799,0.022516672275964808,0.008530177496480561,0.05909210959900376,0.488290300823206,13171,30167,1.1579947620760804,2.6522836525358073
56,1.7176260389984868,0.03711570522268874,1.6619806234422176,0.034120081737038434,3.5098644748563883,0.16747452827688528,1127252,0.8585019143900388,0.007719658071132275,0.007591913786801886,0.020907481202073714,0.08912115480833034,0.6993622748541181,1812,4449,1.6074489111573989,3.9467661179576528
